name,positions,rating,nationality,club,league
M. Epps,RW,53,United States,Philadelphia Union,Major League Soccer
M. Eramo,CM,67,Italy,Ternana,Serie B
M. Erb,CB,64,Germany,KFC Uerdingen 05,3. Liga
M. Erboğa,ST,60,Turkey,Kasimpaşa SK,Super Lig
M. Erdilman,CM; CDM,55,Turkey,Antalyaspor,Super Lig
M. Erdinç,ST,77,Turkey,AS Saint-Étienne,Ligue 1
M. Ericsson,CM,68,Sweden,BK Häcken,Allsvenskan
M. Eriksson,ST,68,Sweden,Malmö FF,Allsvenskan
M. Erlic,CB,61,Croatia,Spezia,Serie B
M. Erlić,CB,61,Croatia,Spezia,Serie B
M. Escalona,CB; RB,60,Chile,Club de Deportes Cobresal,Primera Division
M. Escobar,CAM,52,Argentina,Club Atlético Banfield,Liga Profesional
M. Escoe,ST; LM,59,Costa Rica,Stabæk Fotball,Eliteserien
M. Escudero,CB,59,Argentina,Club Deportivo Palestino,Primera Division
M. Eser,CB,62,Turkey,Ümraniyespor,Super Lig
M. Eshele,CDM; CM,57,Congo DR,SV Darmstadt 98,2. Bundesliga
M. Eskihellaç,LM,61,Turkey,Yeni Malatyaspor,Super Lig
M. Esor,RB,64,France,US Créteil-Lusitanos,Ligue 2
M. Espinosa,CM,59,France,Clermont Foot 63,Ligue 2
M. Espinoza,LB,67,Paraguay,Libertad,Primera División
M. Esponda,CDM,62,Argentina,Newell's Old Boys,Liga Profesional
M. Esposito,CB,52,Italy,SS Virtus Lanciano,Serie B
M. Esquivel,CM,63,Argentina,Lanús,Liga Profesional
M. Esser,GK,63,Germany,VfL Bochum 1848,2. Bundesliga
M. Essien,CDM,75,Ghana,AC Milan,Serie A
M. Essimi,LM,58,Cameroon,Paris FC,Ligue 2
M. Essombé,ST; CAM,63,Cameroon,US Créteil-Lusitanos,Ligue 2
M. Estigarribia,LM; RM,74,Paraguay,Atalanta,Serie A
M. Estol,CM,60,Uruguay,Cerro Largo,Primera Division
M. Estrada,CDM; CM,72,Chile,San Luis de Quillota,Primera Division
M. Estève,CB; LB,60,France,Montpellier,Ligue 1
M. Etame,ST,69,Cameroon,Antalyaspor,Super Lig
M. Etuin,CM,60,France,Lorient,Ligue 2
M. Etxeberría,LM; LB,78,Paraguay,,
M. Evans,GK,51,Australia,Sydney FC,A-League
M. Evouna,ST,60,Gabon,İttifak Holding Konyaspor,Super Lig
M. Exslager,ST; CF; RM; LM,65,Germany,SV Darmstadt 98,2. Bundesliga
M. Ezmat,LW,49,China PR,Qingdao Hainiu,Super League
M. Ezzarfani,RW; LW; ST,63,Morocco,RCD Espanyol de Barcelona,La Liga
M. Ezzat,CB,64,Egypt,CD Nacional,Liga Portugal
M. Eșanu,GK,56,Romania,FC Dinamo 1948 Bucureşti,Liga 1
M. Faal,ST; RW,55,England,Bolton Wanderers,League One
M. Fabbro,CF; ST,65,Italy,Pisa,Serie B
M. Fabián,CAM; LW; CF,71,Mexico,Cruz Azul,Liga MX
M. Fabrie,GK,57,Netherlands,Sparta Rotterdam,Eredivisie
M. Facchinetti,LB; LM,62,Switzerland,FC St. Gallen 1879,Super League
M. Facklam,ST,56,Germany,Sportfreunde Lotte,3. Liga
M. Fadhloun,CDM,56,France,Football Bourg En Bresse Peronnas 01,Ligue 2
M. Fagan-Walcott,CB,58,England,Tottenham Hotspur,Premier League
M. Fagerli Halsøy,ST,50,Norway,Bodø / Glimt,Eliteserien
M. Fagundez,CDM,76,Uruguay,,
M. Falatah,ST,72,Saudi Arabia,Al Ittihad,Pro League
M. Falcón,CB,70,Uruguay,Colo-Colo,Primera Division
M. Falk Olander,CB,62,Sweden,IFK Norrköping,Allsvenskan
M. Falk-Olander,CB; RB,58,Sweden,IFK Norrköping,Allsvenskan
M. Falkeborn,RB; LB,57,Sweden,IF Brommapojkarna,Allsvenskan
M. Falkesgaard,GK,58,Denmark,Brøndby IF,Superliga
M. Fall,RB; LB,61,Senegal,GFC Ajaccio,Ligue 2
M. Fallata,ST,67,Saudi Arabia,Al Wehda,Pro League
M. Fallatah,ST,72,Saudi Arabia,Al Ittihad,Pro League
M. Falzerano,RW; CM; LM,67,Italy,Venezia FC,Serie B
M. Falón,LM,59,Argentina,Huracán,Liga Profesional
M. Fanimo,LM; LB,53,England,West Ham United,Premier League
M. Fantín,CM,52,Argentina,Unión de Santa Fe,Liga Profesional
M. Faqihi,LB,54,Saudi Arabia,Al Hilal,Pro League
M. Faraoni,RM; RB,69,Italy,Udinese Calcio,Serie A
M. Fares,LW; RW; ST,58,France,Hellas Verona,Serie A
M. Farfan,CM; LM,63,United States,D.C. United,Major League Soccer
M. Farouk,RW; CAM; LW,69,Egypt,,
M. Farrero,CAM,68,Ecuador,,
M. Farrona Pulido,LM; LW; RW; RM,66,Germany,SC Fortuna Köln,3. Liga
M. Farsi,RB; RM,63,Canada,Columbus Crew,Major League Soccer
M. Faryna,CB,57,Ukraine,Shakhtar Donetsk,Premier League
M. Fatau,CDM; CM,67,Ghana,Granada CF,La Liga
M. Fathi,RM; CAM; LM,67,Egypt,Al Taawoun,Pro League
M. Fawns,CAM; CM,57,England,Oldham Athletic,League One
M. Fayez,LB; CB,65,United Arab Emirates,Al Ain FC,Rest of World
M. Faßbender,RM; LM; ST,61,Germany,Meppen,3. Liga
M. Faško,CDM,66,Slovakia,Grasshopper Club Zürich,Super League
M. Fedele,CAM; CM; CDM,61,Switzerland,FC Sion,Super League
M. Feeney,CB,60,England,Everton,Premier League
M. Feigenspan,LW,60,Germany,Eintracht Braunschweig,3. Liga
M. Feil,RM,62,Germany,Elversberg,3. Liga
M. Fejzullahu,CAM; LM,64,Albania,Eintracht Braunschweig,3. Liga
M. Felici,CAM,53,Italy,Lecce,Serie B
M. Feliks,ST; LM,62,Poland,Radomiak Radom,Ekstraklasa
M. Fellah,RW; CAM; RM,71,Norway,Esbjerg fB,Superliga
M. Fellaini,CDM; CM,79,Belgium,Manchester United,Premier League
M. Felsch,CM,51,Poland,Podbeskidzie Bielsko-Biała,Ekstraklasa
M. Fenger,CB,65,Denmark,Randers FC,Superliga
M. Fenouche,ST,61,Algeria,Toulouse Football Club,Ligue 1
M. Ferkranus,CB,52,United States,LA Galaxy,Major League Soccer
M. Fernandes,LM,54,Germany,Holstein Kiel,2. Bundesliga
M. Fernández,CAM; CM; CF,78,Chile,Fiorentina,Serie A
M. Ferrari,CB,64,Italy,Club de Foot Montréal,Major League Soccer
M. Ferreira,RB,61,France,Red Star FC,Ligue 2
M. Ferrel,GK,59,Bolivia,Club Deportivo Guabirá,Liga De Futbol Prof
M. Ferreyra,CB,60,Argentina,Club Olimpo,Liga Profesional
M. Ferri,RB; CB,66,Italy,FC Pro Vercelli 1892,Serie B
M. Ferrier,ST,54,Jamaica,Crystal Palace,Premier League
M. Festa,GK,61,Italy,Crotone,Serie B
M. Fetsch,ST; CF,62,Germany,FC Augsburg,Bundesliga
M. Feulner,CM; RM; CDM; RB,74,Germany,FC Augsburg,Bundesliga
M. Fierro,CB; RB; LB,72,Chile,Curicó Unido,Primera Division
M. Figoli,CAM; CF; ST,62,Uruguay,Alianza Petrolera,Liga BetPlay
M. Figueroa,LB; LWB; CB,73,Honduras,Hull City,Premier League
M. Filippi,LW; RW,62,Italy,Vicenza,Serie B
M. Filla,RB; LB,51,Chile,Club de Deportes Cobresal,Primera Division
M. Fink,CM; CDM; CAM,65,Germany,FC Erzgebirge Aue,2. Bundesliga
M. Finne Wørts,CB; CDM,49,Denmark,FC Nordsjælland,Superliga
M. Finnestrand,GK,50,Norway,Strømsgodset,Eliteserien
M. Finotto,LW,63,Italy,SPAL,Serie B
M. Fiorenza,GK,48,Italy,Torino,Serie A
M. Firenze,ST,57,Italy,Crotone,Serie B
M. Firlej,ST,58,Poland,Korona Kielce,Ekstraklasa
M. Fisch,CB,58,Denmark,FC Helsingør,Superliga
M. Fischer,LB; CB,52,France,Nancy,Ligue 2
M. Fischnaller,CF; LW,65,Italy,Südtirol,Serie B
M. Fish,RB; CB,62,England,Gillingham,League One
M. Fisher,CB,51,England,Tranmere Rovers,League Two
M. Fissore,RB,54,Argentina,Atlético de Rafaela,Liga Profesional
M. Fitzgerald,CB; LB,64,Japan,Albirex Niigata,J-League
M. Fixelles,CM; CDM; CAM,67,Belgium,Kortrijk,Jupiler Pro League
M. Fjörtoft,CB,57,Norway,Hamilton Academical FC,Premiership
M. Fjørtoft,CB,57,Norway,Hamilton Academical,Premiership
M. Flamini,CDM; CM,77,France,Arsenal,Premier League
M. Fledderus,CM,68,Netherlands,Heracles Almelo,Eredivisie
M. Flekken,GK,59,Netherlands,SpVgg Greuther Fürth,2. Bundesliga
M. Fletcher,ST,59,Australia,Central Coast Mariners,A-League
M. Flis,LB; CB,58,Poland,GKS Bełchatów,Ekstraklasa
M. Flores,ST,54,Chile,Club de Deportes Cobresal,Primera Division
M. Florén,LB,62,Sweden,IFK Norrköping,Allsvenskan
M. Flynn,CM,61,Wales,Newport County,League Two
M. Foden,GK,44,Scotland,St. Mirren,Premiership
M. Fofana,LM; ST,66,Côte d'Ivoire,Lillestrøm SK,Eliteserien
M. Fogliaccia,LM,63,Italy,Vicenza,Serie B
M. Folivi,ST,60,England,Watford,Premier League
M. Folorunsho,CAM; CM; ST,68,Italy,Bari 1908,Serie B
M. Fondop,ST,59,Cameroon,Burton Albion,League One
M. Fondy,ST,55,United States,Chicago Fire Football Club,Major League Soccer
M. Fonseca,ST,59,Argentina,Patronato,Liga Profesional
M. Fontaine,CB; LB,64,France,Amiens SC,Ligue 2
M. Formica,CAM; RM,70,Argentina,Cruz Azul,Liga MX
M. Fornalczyk,LM,55,Poland,Pogoń Szczecin,Ekstraklasa
M. Fornari,ST,53,Argentina,Club Atlético Sarmiento,Liga Profesional
M. Fornasier,CB,54,Italy,U.C. Sampdoria,Serie A
M. Forss,ST,58,Finland,Brentford,Championship
M. Forssell,ST,67,Finland,VfL Bochum 1848,2. Bundesliga
M. Fortuné,ST; RM,69,France,Wigan Athletic,Championship
M. Fossati,CM,64,Italy,Perugia,Serie B
M. Fossey,RB,58,United States,Fulham,Championship
M. Fossum Basse,CM; CDM,59,Denmark,FC Helsingør,Superliga
M. Fotheringham,CM; CDM,59,Scotland,Fulham,Championship
M. Foulds,CB; LB,56,England,Everton,Premier League
M. Fouzair,RM; LM,70,Morocco,Al Nassr,Pro League
M. Fowler,ST,50,England,Fleetwood Town,League One
M. Fox,LB,54,England,Charlton Athletic,Championship
M. Foy,ST,48,England,Cambridge United,League Two
M. Fracchia,CB; LB,61,Chile,O'Higgins,Primera Division
M. Fraga,GK,64,Mexico,Club Atlas,Liga MX
M. Fraisl,GK,56,Austria,Wiener Neustadt,Bundesliga
M. Franco,LB; CB,54,Italy,Perugia,Serie B
M. Francois,CM,51,France,FC Sochaux-Montbéliard,Ligue 2
M. Franke,CB; CDM,65,Germany,SpVgg Greuther Fürth,2. Bundesliga
M. Frankoch,CDM; CM,61,Denmark,Vendsyssel FF,Superliga
M. Frantz,CDM; CM; LM,72,Germany,Sport-Club Freiburg,Bundesliga
M. Franzke,RM; RW; LW,62,Germany,Bayern München II,3. Liga
M. Fraser,RB; CB,53,Scotland,Celtic,Premiership
M. Frederiksen,RB,51,Denmark,Viborg,Superliga
M. Fredes,RM,57,Chile,CD Antofagasta,Primera Division
M. Frediani,LW,63,Italy,Ascoli,Serie B
M. Fredriksen,RW; CM; LW,58,Norway,Odds BK,Eliteserien
M. Freej,GK,55,Saudi Arabia,Al Khaleej,Pro League
M. Freese,GK,54,United States,Philadelphia Union,Major League Soccer
M. Freitas,ST,61,Uruguay,Argentinos Juniors,Liga Profesional
M. Freiter,CF; CM; CB,54,England,Gillingham,League One
M. Freites,CM,60,Argentina,Godoy Cruz,Liga Profesional
M. Freke,GK,50,Australia,Brisbane Roar,A-League
M. Frendrup,CM,52,Denmark,Brøndby,Superliga
M. Frese,LW,53,Denmark,Nordsjælland,Superliga
M. Frey,CAM; ST,65,Switzerland,BSC Young Boys,Super League
M. Friedl,LB,60,Austria,FC Bayern München,Bundesliga
M. Friedrich,CB; RB; LB,58,Germany,FC Schalke 04,Bundesliga
M. Frigerio,LM,49,Colombia,Millonarios FC,Liga BetPlay
M. Frithzell,ST,52,Sweden,FC Helsingør,Superliga
M. Fritz,CDM; CB,61,Germany,SC Fortuna Köln,3. Liga
M. Fritzler,CDM,69,Argentina,Kasimpaşa SK,Super Lig
M. Fryatt,ST,70,England,Nottingham Forest,Championship
M. Frydrych,CB,55,Czech Republic,SK Slavia Praha,Fortuna Liga
M. Frøkjær-Jensen,CM,48,Denmark,Odense Boldklub,Superliga
M. Frýdek,LM,65,Czech Republic,,
M. Fuchshofer,ST,57,Austria,Rapid Vienna,Bundesliga
M. Fucito,ST,62,United States,San Jose Earthquakes,Major League Soccer
M. Fuentes,CF,55,Chile,Deportes Iquique,Primera Division
M. Fujita,RB,64,Japan,Sagan Tosu,J-League
M. Funk,GK,60,Germany,SpVgg Greuther Fürth,2. Bundesliga
M. Funston,CM; RM,53,Republic of Ireland,Finn Harps,Premier Division
M. Furaih,CAM; RW,48,Saudi Arabia,Al Batin,Pro League
M. Fusar Bassini,LB,52,Italy,Carpi,Serie B
M. Fuseini,RM; LM; ST,61,Ghana,Sturm Graz,Bundesliga
M. Futács,ST,64,Hungary,Mersin İdman Yurdu,Super Lig
M. Gabbia,CB,61,Italy,AC Milan,Serie A
M. Gabbiadini,CAM; CF,75,Italy,U.C. Sampdoria,Serie A
M. Gabel Jørgensen,RB,55,Denmark,Lyngby BK,Superliga
M. Gaffoor,CB,63,France,CD Numancia,La Liga 2
M. Gagliardo,GK,68,Argentina,Arsenal de Sarandí,Liga Profesional
M. Gajić,CM; CDM; CAM,59,Serbia,BSC Young Boys,Super League
M. Gajos,CDM; CAM,60,Poland,Jagiellonia Białystok,Ekstraklasa
M. Gakpa,CF; CAM,56,France,FC Lorient,Ligue 1
M. Galain,CB,66,Uruguay,Fortaleza CEIF,Liga BetPlay
M. Galarza,RB,65,Argentina,Nueva Chicago,Liga Profesional
M. Galezo,CB,64,Venezuela,Hermanos Colmenares,Primera Division
M. Gallagher,LM; RM; CM,48,Republic of Ireland,Finn Harps,Premier Division
M. Gallegos,ST,59,Argentina,Unión Santa Fe,Liga Profesional
M. Galmarini,RM; RB,67,Argentina,Club Atlético Tigre,Liga Profesional
M. Galvan,ST,64,Mexico,Juárez,Liga MX
M. Galvarado,RB; RM,74,Chile,CD Universidad de Concepción,Primera Division
M. Galván,CAM,64,Mexico,Juárez,Liga MX
M. Galé,CDM,56,Colombia,La Equidad,Liga BetPlay
M. Gamakov,CDM; CB,62,Bulgaria,,
M. Gamarra,LB; LM,63,Paraguay,Olimpia,Primera División
M. Gamble,ST; LW; RW,59,England,New England Revolution,Major League Soccer
M. Gambos,CAM,62,Slovakia,FC Viktoria 1889 Berlin,3. Liga
M. Gamonales,RB; RM; CM,77,Chile,Universidad de Chile,Primera Division
M. Garay,RB; RM,58,Argentina,Patronato,Liga Profesional
M. Garbett,ST; RW,51,New Zealand,Falkenberg,Allsvenskan
M. Garcia,CM; CAM; LM,64,Argentina,Seongnam FC,K League 1
M. García,LM; LB,60,Argentina,Gimnasia y Esgrima La Plata,Liga Profesional
M. Gardawski,CF,61,Germany,Korona Kielce,Ekstraklasa
M. Gardyne,CF; CAM; ST; LM,59,Scotland,Dundee United,Premiership
M. Gargiulo,CDM,51,Italy,Brescia,Serie B
M. Garrido,CAM; CM,67,Argentina,Patronato,Liga Profesional
M. Garuch,RM,58,Poland,Miedź Legnica,Ekstraklasa
M. Garzón,CM,58,Bolivia,Always Ready,Liga De Futbol Prof
M. Gash,ST,55,England,Barnet,League Two
M. Gashchenkov,LM,58,Russia,Amkar Perm,Premier League
M. Gasparini,GK,57,Italy,Udinese,Serie A
M. Gasperi,CAM,57,Italy,Cesena,Serie A
M. Gasperoni,CDM; CM,52,Italy,Cesena,Serie B
M. Gastón Castro,ST,54,Argentina,Unión de Santa Fe,Liga Profesional
M. Gatto,CAM,58,Italy,Carpi,Serie B
M. Gaus,LM; LW,68,Germany,1. FC Kaiserslautern,2. Bundesliga
M. Gauto,ST,50,Paraguay,Defensa y Justicia,Liga Profesional
M. Gavranović,ST; CAM,72,Switzerland,FC Zürich,Super League
M. Gazzola,RB; RM,64,Italy,U.S. Sassuolo Calcio,Serie A
M. Gaćinović,LM,66,Serbia,Eintracht Frankfurt,Bundesliga
M. Gałecki,CM,52,Poland,Sandecja Nowy Sącz,Ekstraklasa
M. Gebers,CB; CDM,61,Germany,SV Meppen,3. Liga
M. Gecov,CDM; CM,65,Czech Republic,Śląsk Wrocław,Ekstraklasa
M. Gehrt,CAM; CM,66,Denmark,ADO Den Haag,Eredivisie
M. Gelabert,CDM,64,Argentina,San Martín de San Juan,Liga Profesional
M. Gendera,RB,57,Poland,Piast Gliwice,Ekstraklasa
M. Genesh,GK,69,Egypt,,
M. Gentili,CB,60,Italy,Vicenza,Serie B
M. George,ST,61,Costa Rica,Hobro IK,Superliga
M. Geran,ST; CAM,58,France,FC Chambly Oise,Ligue 2
M. Gerbaudo,CM; LM; RM,55,Italy,Vicenza,Serie B
M. Gersbeck,GK,63,Germany,Hertha BSC,Bundesliga
M. Geschwill,LB,56,Germany,TSG Hoffenheim,Bundesliga
M. Ghadir,ST,68,Israel,Sporting Lokeren,Jupiler Pro League
M. GiUng,CB,54,Sweden,Hammarby,Allsvenskan
M. Giagnorio,GK,54,France,Nancy,Ligue 2
M. Giamattei,RWB; CM,49,England,Swindon Town,League One
M. Giandonato,CM; CDM,64,Italy,SS Virtus Lanciano,Serie B
M. Giannikoglou,GK,65,Greece,AEK Athens,Super League
M. Gianoli,CB,63,Uruguay,Cerro Largo Fútbol Club,Primera Division
M. Gibbs-White,CM,54,England,Wolverhampton Wanderers,Championship
M. Gibson,ST,50,England,Notts County,League Two
M. Gil,LB,60,Bolivia,Guabirá,Liga De Futbol Prof
M. Gilks,GK,71,Scotland,Burnley,Premier League
M. Gill,CM,55,England,Tranmere Rovers,League Two
M. Gillam,ST,52,England,Rochdale,League One
M. Gillesphey,CB,57,England,Carlisle United,League Two
M. Gillespie,GK,58,England,Carlisle United,League Two
M. Giménez,CAM; LM,69,Argentina,Rionegro Águilas,Liga BetPlay
M. Ginter,CB; CDM; CM,77,Germany,Borussia Dortmund,Bundesliga
M. Giordano,GK,62,Argentina,Club Atlético Huracán,Liga Profesional
M. Giraldo,CDM,53,Colombia,Envigado,Liga BetPlay
M. Giron,LB; LM,57,France,Avellino,Serie B
M. Giusti,RW; RM,57,Italy,Vicenza,Serie B
M. Gjerstrøm,CM; CAM,59,Norway,Strømsgodset,Eliteserien
M. Gjira,CDM; LB,61,Croatia,Dinamo Zagreb,1. HNL
M. Gliwa,GK,60,Poland,Sandecja Nowy Sącz,Ekstraklasa
M. Glushenkov,RW,63,Russia,Spartak Moskva,Premier League
M. Glynn,RB,51,Northern Ireland,Derry City,Premier Division
M. Glück,CB; CDM,54,Austria,1860 München,3. Liga
M. Gneba,RW,60,France,Amiens SC,Ligue 1
M. Gobbi,LB; LM,71,Italy,Parma,Serie A
M. Goblet,GK,58,Belgium,Waasland-Beveren,Jupiler Pro League
M. Godden,ST,59,England,Stevenage,League Two
M. Godfroid,GK,52,Belgium,Standard Liège,Jupiler Pro League
M. Godinho,RB,54,Canada,Heart of Midlothian,Premiership
M. Godo,RW,58,England,Fulham,Premier League
M. Godoy,CDM,63,Paraguay,Deportivo Cali,Liga BetPlay
M. Godts,LW,64,Belgium,Genk,Jupiler Pro League
M. Goicoechea,GK,70,Uruguay,FC Arouca,Liga Portugal
M. Golitin,GK,59,France,Caen,Ligue 1
M. Goliński,RM,59,Poland,Górnik Łęczna,Ekstraklasa
M. Gollner,CB,63,Austria,RZ Pellets Wolfsberger AC,Bundesliga
M. Gomes,RB; RM,63,Switzerland,Neuchâtel Xamax FCS,Super League
M. Gomez,ST,82,Germany,Fiorentina,Serie A
M. Gomis,CM; CDM,64,Senegal,Heart of Midlothian,Premiership
M. Gonalons,CDM; CB,80,France,Olympique Lyonnais,Ligue 1
M. Goncalves,LB,59,France,Toulouse Football Club,Ligue 1
M. Gono,CM,58,Slovakia,Wisła Płock,Ekstraklasa
M. Gonzalez,GK,58,Chile,Everton,Primera Division
M. Gonzalez Ceron,GK,54,Chile,CD Everton de Viña del Mar,Primera Division
M. González,LB,58,Chile,Deportivo Ñublense,Primera Division
M. Gonçalves,LB,62,France,Toulouse,Ligue 1
M. Goodridge,CM,56,England,Burnley,Premier League
M. Gorgelin,GK,60,France,Olympique Lyonnais,Ligue 1
M. Gorgerino,CM,54,Argentina,Gimnasia y Esgrima La Plata,Liga Profesional
M. Gori,CM,49,Italy,Frosinone,Serie B
M. Gorin,RB,55,Russia,Ural,Premier League
M. Gostomski,GK,65,Poland,Lech Poznań,Ekstraklasa
M. Goto,GK,55,Japan,Shonan Bellmare,J-League
M. Gottschling,RB; RW; LW,62,Germany,Viktoria Köln,3. Liga
M. Gottwald,CDM,52,Germany,FC Carl Zeiss Jena,3. Liga
M. Goua,RB,69,Côte d'Ivoire,,
M. Gouaida,RM; LM,58,France,Hamburger SV,Bundesliga
M. Gould,CB,67,South Africa,Kaizer Chiefs,Premier League
M. Gouras,LM; CAM; RM,61,Germany,Saarbrücken,3. Liga
M. Grabowski,LB; LM,51,Poland,Wisła Kraków,Ekstraklasa
M. Gracia,CAM,62,Mexico,CF Monterrey,Liga MX
M. Gradel,LW; LM; RW,74,Côte d'Ivoire,AS Saint-Étienne,Ligue 1
M. Gragger,LB; CM,56,Austria,Ried,Bundesliga
M. Graiciar,ST; CF,67,Czech Republic,AC Sparta Praha,Fortuna Liga
M. Granados,CF,59,Mexico,Club Deportivo Guadalajara,Liga MX
M. Grandi,GK,59,Italy,Latina,Serie B
M. Granville,CM,48,England,Stevenage,League Two
M. Grasegger,LB; CB; RB,58,Austria,spusu SKN St. Pölten,Bundesliga
M. Green,ST; CF,63,England,Birmingham City,Championship
M. Greenwood,CF; ST; RW; CAM,65,England,Manchester United,Premier League
M. Gregoritsch,ST; LM,63,Austria,VfL Bochum 1848,2. Bundesliga
M. Grella,ST,61,United States,New York Red Bulls,Major League Soccer
M. Gresler,LB,49,Germany,1860 München,3. Liga
M. Greve,CM,48,Denmark,Odense Boldklub,Superliga
M. Grgic,CM,61,Austria,SV Mattersburg,Bundesliga
M. Griffin,ST; RM,55,Republic of Ireland,Dundalk FC,Premier Division
M. Grigoriev,CAM; LM,64,Russia,FC Rostov,Premier League
M. Grim,GK,57,Netherlands,RKC Waalwijk,Eredivisie
M. Grimes,CM; LM,54,England,Exeter City,League Two
M. Großer,CDM; CB,50,Germany,Dynamo Dresden,3. Liga
M. Grudziński,LB,59,Poland,Radomiak Radom,Ekstraklasa
M. Grujić,CM,70,Serbia,Liverpool,Premier League
M. Grundmann,CB,56,Germany,FC Energie Cottbus,3. Liga
M. Grzybek,RWB; CB; RB,64,Poland,Nieciecza,Ekstraklasa
M. Grösch,CB; RB; CDM,62,Germany,FC Carl Zeiss Jena,3. Liga
M. Grødem,CM,53,Norway,Vålerenga Fotball,Eliteserien
M. Grüll,LM; RM; ST,66,Austria,Ried,Bundesliga
M. Grün,GK,70,Germany,VfL Wolfsburg,Bundesliga
M. Grüttner,ST,67,Germany,SSV Jahn Regensburg,2. Bundesliga
M. Gspurning,GK,70,Austria,FC Schalke 04,Bundesliga
M. Guanini,CB,61,Argentina,Gimnasia y Esgrima La Plata,Liga Profesional
M. Guaramato,RB; CB,61,Venezuela,Zamora Fútbol Club,Primera Division
M. Guardia,CAM,61,Argentina,Unión La Calera,Primera Division
M. Gudmann,CB,50,Denmark,Nordsjælland,Superliga
M. Gudra,ST; LW; RW,58,Germany,Hannover 96,2. Bundesliga
M. Gueddar,LW,61,Morocco,En Avant de Guingamp,Ligue 2
M. Guehi,CB,58,England,Chelsea,Premier League
M. Guel,RW,54,Côte d'Ivoire,Lorient,Ligue 2
M. Guendouzi,CM,57,France,FC Lorient,Ligue 1
M. Guerbert,CM; LM,63,France,Rodez Aveyron Football,Ligue 2
M. Guerreiro,ST,60,Argentina,Defensa y Justicia,Liga Profesional
M. Guerreyro,RM; RW,67,Ecuador,,
M. Guevgeozián,ST,61,Armenia,Atlético Bucaramanga,Liga BetPlay
M. Gueye,ST,62,Senegal,Hajer,Pro League
M. Guezoui,ST,63,France,Valenciennes FC,Ligue 2
M. Guidaros,RB,73,Chile,Universidad de Chile,Primera Division
M. Guidone,ST,67,Italy,Padova,Serie B
M. Guilavogui,LW,59,France,Paris,Ligue 2
M. Guillaume,GK,56,France,Dunkerque,Ligue 2
M. Gulde,CB,67,Germany,Karlsruher SC,2. Bundesliga
M. Gulliksen,CM,51,Norway,Strømsgodset,Eliteserien
M. Gullit,CB,59,Netherlands,AZ Alkmaar,Eredivisie
M. Gulpa,CAM; RM; LM,65,Germany,Türkgücü-Ataspor,3. Liga
M. Gumaneh,ST,55,Germany,Viktoria Berlin,3. Liga
M. Gundelach,RB; RW; RM; CDM,57,Denmark,FC Nordsjælland,Superliga
M. Gundersen,CM; CAM,56,Norway,Mjøndalen IF,Eliteserien
M. Gurski,GK,60,Germany,SpVgg Unterhaching,3. Liga
M. Gustafsson,CM; RM,64,Sweden,IF Brommapojkarna,Allsvenskan
M. Gusto,RB; RM,63,France,Olympique Lyonnais,Ligue 1
M. Guthörl,RB,60,Germany,SV Wehen Wiesbaden,2. Bundesliga
M. Gutiérrez,LM; LW,62,Uruguay,CD O'Higgins,Primera Division
M. Guzmán,CM,59,Uruguay,Jaguares de Córdoba Fútbol Club,Liga BetPlay
M. Guéhi,CB,73,England,Crystal Palace,Premier League
M. Gyamfi,CB; RB; CDM,54,Germany,VfL Bochum 1848,2. Bundesliga
M. Gálvez,CB; RB,55,Chile,CD Cobreloa,Primera Division
M. Gómez,RW,57,Argentina,Deportes Iquique,Primera Division
M. Góra,CAM,58,Poland,Vicenza,Serie B
M. Górski,CF; RW,59,Poland,Jagiellonia Białystok,Ekstraklasa
M. Gönülaçar,CM,57,Turkey,BB Erzurumspor,Super Lig
M. Göppel,LB,51,Liechtenstein,FC Vaduz,Super League
M. Görlitz,RM; CM,68,Germany,FC St. Pauli,2. Bundesliga
M. Götz,LB; RB; LM,58,Germany,Bayreuth,3. Liga
M. Götze,CAM; CF; CM; RM,85,Germany,FC Bayern München,Bundesliga
M. Götzendorfer,CM; RB,60,Germany,Ingolstadt,2. Bundesliga
M. Gümüşkaya,CAM; RM; LM,64,Turkey,Fenerbahçe SK,Super Lig
M. Günok,GK,74,Turkey,Bursaspor,Super Lig
M. Gürbüzerol,ST,58,Turkey,Balıkesirspor,Super Lig
M. Güven,CDM; CM,68,Turkey,İttifak Holding Konyaspor,Super Lig
M. Güçlü,ST,64,Turkey,Paris Saint Germain,Ligue 1
M. Haakenstad,ST; CM,60,Norway,Lillestrøm SK,Eliteserien
M. Haarup,RB,54,Denmark,Hobro IK,Superliga
M. Haas,LB,61,Austria,spusu SKN St. Pölten,Bundesliga
M. Haber,ST,59,Canada,Crewe Alexandra,League One
M. Habkoor,CAM,53,Saudi Arabia,Abha,Pro League
M. Haddachi,LB,60,Netherlands,ADO Den Haag,Eredivisie
M. Haddad,RM; RW,61,Tunisia,Quevilly Rouen,Ligue 2
M. Hadj Saïd,CDM; CM; CAM,56,Tunisia,Piast Gliwice,Ekstraklasa
M. Haeder,ST,59,Germany,Verl,3. Liga
M. Hagemoser,GK,58,Germany,Hansa Rostock,2. Bundesliga
M. Hahnemann,GK,64,United States,Seattle Sounders FC,Major League Soccer
M. Haidara,ST,58,France,US Créteil-Lusitanos,Ligue 2
M. Haile-Selassie,RM; CM,53,Switzerland,FC Zürich,Super League
