name,positions,rating,club,league,nationality
Mateus Fernandes,CM,76,Southampton,Premier League,Portugal
Ryan Flamingo,CB,76,PSV,Eredivisie,Holland
Tommaso Baldanzi,CAM,76,Roma,Serie A,Italy
Michael Folorunsho,CAM,76,Fiorentina,Serie A,Italy
Federico Baschirotto,CB,76,Lecce,Serie A,Italy
Abdul Fatawu,RW,76,Leicester City,Premier League,Ghana
Mika Marmol,CB,76,UD Las Palmas,La Liga,Spain
Matias Soule,RM,76,Roma,Serie A,Argentina
Jakub Kiwior,LB,76,Arsenal,Premier League,Poland
Saul Coco,CB,76,Torino,Serie A,Equatorial Guinea
Dango Ouattara,LM,76,AFC Bournemouth,Premier League,Burkina Faso
Habib Diarra,CM,76,RC Strasbourg Alsace,Ligue 1,Senegal
Agirrezabala,GK,76,Athletic Club,La Liga,Spain
Antonio Nusa,LM,76,RB Leipzig,Bundesliga,Norway
Neil El Aynaoui,CM,76,RC Lens,Ligue 1,Morocco
Nicola Zalewski,LM,76,Inter,Serie A,Poland
Senne Lynen,CDM,76,SV Werder Bremen,Bundesliga,Belgium
Omar El Hilali,RB,76,RCD Espanyol,La Liga,Morocco
Quentin Merlin,LB,76,Olympique de Marseille,Ligue 1,France
Kevin Schade,LW,76,Brentford,Premier League,Germany
Nicolo Fagioli,CDM,76,Fiorentina,Serie A,Italy
Simon Adingra,RM,76,Brighton & Hove Albion,Premier League,Côte d'Ivoire
Elye Wahi,ST,76,Eintracht Frankfurt,Bundesliga,France
Daniel Svensson,CM,76,Borussia Dortmund,Bundesliga,Sweden
Terrats,CM,76,Getafe CF,La Liga,Spain
Ilaix Moriba,CM,76,RC Celta,La Liga,Guinea
Luka Sucic,CAM,76,Real Sociedad,La Liga,Croatia
Benedict Hollerbach,ST,76,1. FC Union Berlin,Bundesliga,Germany
Emanuel Emegha,ST,76,RC Strasbourg Alsace,Ligue 1,Holland
Kristijan Jakic,CDM,76,FC Augsburg,Bundesliga,Croatia
Josip Juranovic,RB,76,1. FC Union Berlin,Bundesliga,Croatia
Bilal El Khannouss,CAM,76,Leicester City,Premier League,Morocco
Paul Nebel,CAM,76,1. FSV Mainz 05,Bundesliga,Germany
Tiago Tomas,ST,76,VfL Wolfsburg,Bundesliga,Portugal
Luis Henrique,LM,76,Olympique de Marseille,Ligue 1,Brazil
Malick Fofana,LW,76,Olympique Lyonnais,Ligue 1,Belgium
Lazar Samardzic,CM,76,Atalanta,Serie A,Serbia
Morato,CB,76,Nottingham Forest,Premier League,Brazil
Youssouf Ndayishimiye,CDM,76,OGC Nice,Ligue 1,Burundi
Strahinja Pavlovic,CB,76,AC Milan,Serie A,Serbia
Patrick Wimmer,RM,76,VfL Wolfsburg,Bundesliga,Austria
Nick Woltemade,ST,76,VfB Stuttgart,Bundesliga,Germany
Jake O'Brien,CB,76,Everton,Premier League,Republic of Ireland
Ansu Fati,CAM,76,FC Barcelona,La Liga,Spain
Anthony Rouault,CB,76,Stade Rennais FC,Ligue 1,France
Thijs Dallinga,ST,76,Bologna,Serie A,Holland
Crysencio Summerville,LM,76,West Ham United,Premier League,Holland
Beto,ST,76,Everton,Premier League,Portugal
Lilian Brassier,CB,76,Stade Rennais FC,Ligue 1,France
Ricardo Pepi,ST,76,PSV,Eredivisie,United States
Kirian,CM,76,UD Las Palmas,La Liga,Spain
Chris Richards,CB,76,Crystal Palace,Premier League,United States
Derrick Kohn,LB,76,SV Werder Bremen,Bundesliga,Germany
Gustav Isaksen,RW,76,Lazio,Serie A,Denmark
Emerson Royal,RB,76,AC Milan,Serie A,Brazil
Maxence Caqueret,CM,76,Como,Serie A,France
Adam Hlozek,ST,76,TSG 1899 Hoffenheim,Bundesliga,Czechia
Osame Sahraoui,LM,76,Lille OSC,Ligue 1,Morocco
Riccardo Sottil,LW,76,AC Milan,Serie A,Italy
Valery,LM,76,RCD Mallorca,La Liga,Spain
Himad Abdelli,CAM,76,Angers SCO,Ligue 1,Algeria
Lucas Beltran,ST,76,Fiorentina,Serie A,Argentina
Inaki Pena,GK,76,FC Barcelona,La Liga,Spain
Marash Kumbulla,CB,76,RCD Espanyol,La Liga,Albania
Jordan Teze,RB,76,AS Monaco,Ligue 1,Holland
Michal Sadilek,CDM,76,FC Twente,Eredivisie,Czech Republic
Mohammed Salisu,CB,76,AS Monaco,Ligue 1,Ghana
Petar Musa,ST,76,FC Dallas,Major League Soccer,Croatia
Marius Bulter,LM,76,TSG 1899 Hoffenheim,Bundesliga,Germany
Teddy Teuma,CM,76,Stade de Reims,Ligue 1,Malta
Jaka Bijol,CB,76,Udinese,Serie A,Slovenia
Keven Schlotterbeck,CB,76,FC Augsburg,Bundesliga,Germany
Logan Costa,CB,76,Villarreal CF,La Liga,Cape Verde Islands
Altay Bayındır,GK,76,Manchester United,Premier League,Turkey
Matej Kovar,GK,76,Bayer 04 Leverkusen,Bundesliga,Czechia
Keito Nakamura,LM,76,Stade de Reims,Ligue 1,Japan
Morten Frendrup,CM,76,Genoa,Serie A,Denmark
Romain Faivre,RM,76,Stade Brestois 29,Ligue 1,France
Aitor Ruibal,RB,76,Real Betis Balompié,La Liga,Spain
Yann Aurel Bisseck,CB,76,Inter,Serie A,Germany
Pape Gueye,CM,76,Villarreal CF,La Liga,Senegal
Timothy Weah,RM,76,Juventus,Serie A,United States
Denis Vavro,CB,76,VfL Wolfsburg,Bundesliga,Slovakia
Unai Nunez,CB,76,Athletic Club,La Liga,Spain
Carles Perez,RM,76,Getafe CF,La Liga,Spain
Angel Gomes,CAM,76,Lille OSC,Ligue 1,England
Ander Guevara,CM,76,Deportivo Alavés,La Liga,Spain
Dennis Man,RM,76,Parma,Serie A,Romania
Nicolo Casale,CB,76,Bologna,Serie A,Italy
Areso,RB,76,CA Osasuna,La Liga,Spain
Azor Matusiwa,CDM,76,Stade Rennais FC,Ligue 1,Holland
Atakan Karazor,CDM,76,VfB Stuttgart,Bundesliga,Germany
Amir Murillo,RB,76,Olympique de Marseille,Ligue 1,Panama
Santiago Bueno,CB,76,Wolverhampton Wanderers,Premier League,Uruguay
Marco Friedl,CB,76,SV Werder Bremen,Bundesliga,Austria
Joe Willock,CM,76,Newcastle United,Premier League,England
Mergim Berisha,ST,76,FC Augsburg,Bundesliga,Germany
Kevin Denkey,ST,76,FC Cincinnati,Major League Soccer,Togo
Calvin Stengs,CAM,76,Feyenoord,Eredivisie,Holland
Guus Til,CAM,76,PSV,Eredivisie,Holland
Abdul Mumin,CB,76,Rayo Vallecano,La Liga,Ghana
Victor Nelsson,CB,76,Roma,Serie A,Denmark
Marshall Munetsi,CM,76,Wolverhampton Wanderers,Premier League,Zimbabwe
Rasmus Nicolaisen,CB,76,Toulouse FC,Ligue 1,Denmark
Vitaly Janelt,CM,76,Brentford,Premier League,Germany
Jonathan Ikone,RW,76,Como,Serie A,France
Hugo Cuypers,ST,76,Chicago Fire,Major League Soccer,Belgium
Gaetan Perrin,LM,76,AJ Auxerre,Ligue 1,France
Justin Bijlow,GK,76,Feyenoord,Eredivisie,Holland
Amine Harit,CM,76,Olympique de Marseille,Ligue 1,Morocco
Ruslan Malinovskyi,CM,76,Genoa,Serie A,Ukraine
Jesper Karlsson,LW,76,Lecce,Serie A,Sweden
Issa Diop,CB,76,Fulham FC,Premier League,France
Romain Perraud,LB,76,Real Betis Balompié,La Liga,France
Jhon Lucumi,CB,76,Bologna,Serie A,Colombia
Ibrahima Sissoko,CM,76,VfL Bochum 1848,Bundesliga,Mali
Arthur,CDM,76,Girona FC,La Liga,Brazil
Arthur,RB,76,Girona FC,La Liga,Brazil
Mouctar Diakhaby,CB,76,Valencia CF,La Liga,Guinea
Suat Serdar,CM,76,Hellas Verona FC,Serie A,Germany
Djibril Sow,CM,76,Sevilla FC,La Liga,Switzerland
Florian Grillitsch,CB,76,Real Valladolid CF,La Liga,Austria
Michael Zetterer,GK,76,SV Werder Bremen,Bundesliga,Germany
Florian Sotoca,ST,76,RC Lens,Ligue 1,France
Cyle Larin,ST,76,RCD Mallorca,La Liga,Canada
Cristian Espinoza,RM,76,San Jose Earthquakes,Major League Soccer,Argentina
Hwang Hee Chan,ST,76,Wolverhampton Wanderers,Premier League,Korea Republic
Che Adams,ST,76,Torino,Serie A,Scotland
Scott McKenna,CB,76,UD Las Palmas,La Liga,Scotland
Stephy Mavididi,LW,76,Leicester City,Premier League,England
Lekue,RB,76,Athletic Club,La Liga,Spain
Hernani,CDM,76,Parma,Serie A,Brazil
Jean Butez,GK,76,Como,Serie A,France
Zeki Celik,RB,76,Roma,Serie A,Turkey
Nick Olij,GK,76,Sparta Rotterdam,Eredivisie,Netherlands
Sheraldo Becker,ST,76,Real Sociedad,La Liga,Suriname
Timon Wellenreuther,GK,76,Feyenoord,Eredivisie,Germany
Ruben Aguilar,RB,76,RC Lens,Ligue 1,France
Jonas Omlin,GK,76,Borussia Mönchengladbach,Bundesliga,Switzerland
Rick Karsdorp,RB,76,PSV,Eredivisie,Holland
Timothy Castagne,RB,76,Fulham FC,Premier League,Belgium
Sivera,GK,76,Deportivo Alavés,La Liga,Spain
Unai Lopez,CDM,76,Rayo Vallecano,La Liga,Spain
Victor Lindelof,CB,76,Manchester United,Premier League,Sweden
Deiver Machado,LB,76,RC Lens,Ligue 1,Colombia
Philip Billing,CM,76,Napoli,Serie A,Denmark
Harry Wilson,RM,76,Fulham FC,Premier League,Wales
Sebastiano Luperto,CB,76,Cagliari,Serie A,Italy
Yerry Mina,CB,76,Cagliari,Serie A,Colombia
Sammie Szmodics,CAM,76,Ipswich Town,Premier League,Republic of Ireland
Hans Hateboer,RB,76,Stade Rennais FC,Ligue 1,Holland
Embarba,LM,76,Rayo Vallecano,La Liga,Spain
Baptiste Santamaria,CDM,76,OGC Nice,Ligue 1,France
Guillermo Maripan,CB,76,Torino,Serie A,Chile
Giovanni Simeone,ST,76,Napoli,Serie A,Argentina
Phillipp Mwene,LB,76,1. FSV Mainz 05,Bundesliga,Austria
Lorenzo Montipo,GK,76,Hellas Verona FC,Serie A,Italy
Adama Traore,RM,76,Fulham FC,Premier League,Spain
Adama Traore,RW,76,Fulham FC,Premier League,Spain
Chuba Akpom,ST,76,Lille OSC,Ligue 1,England
Yannick Gerhardt,CM,76,VfL Wolfsburg,Bundesliga,Germany
Daniele Rugani,CB,76,Ajax,Eredivisie,Italy
Morgan Sanson,CM,76,OGC Nice,Ligue 1,France
Jamie Vardy,ST,76,Leicester City,Premier League,England
Hector Bellerin,RB,76,Real Betis Balompié,La Liga,Spain
Sam Johnstone,GK,76,Wolverhampton Wanderers,Premier League,England
Adam Webster,CB,75,Brighton & Hove Albion,Premier League,England
Tom Krauß,CDM,75,VfL Bochum 1848,Bundesliga,Germany
Matteo Ruggeri,LM,75,Atalanta,Serie A,Italy
Ben Godfrey,CB,75,Ipswich Town,Premier League,England
Dani Cardenas,GK,75,Rayo Vallecano,La Liga,Spain
Kristoffer Ajer,CB,75,Brentford,Premier League,Norway
Noah Atubolu,GK,75,SC Freiburg,Bundesliga,Germany
Yahia Fofana,GK,75,Angers SCO,Ligue 1,Côte d'Ivoire
Edimilson Fernandes,CB,75,Stade Brestois 29,Ligue 1,Switzerland
Guela Doue,RB,75,RC Strasbourg Alsace,Ligue 1,Côte d'Ivoire
Mitchel Bakker,LM,75,Lille OSC,Ligue 1,Holland
Albert Sambi Lokonga,CM,75,Sevilla FC,La Liga,Belgium
Yann Gboho,CAM,75,Toulouse FC,Ligue 1,France
Radu Dragusin,CB,75,Tottenham Hotspur,Premier League,Romania
Moritz Nicolas,GK,75,Borussia Mönchengladbach,Bundesliga,Germany
Devyne Rensch,RB,75,Roma,Serie A,Holland
Alban Lafont,GK,75,FC Nantes,Ligue 1,France
Eren Dinkci,RM,75,SC Freiburg,Bundesliga,Germany
Sebastian Nanasi,LM,75,RC Strasbourg Alsace,Ligue 1,Sweden
Miranda,LB,75,Bologna,Serie A,Spain
Benjamin Lecomte,GK,75,Montpellier HSC,Ligue 1,France
Reiss Nelson,RW,75,Fulham FC,Premier League,England
Jacob Greaves,CB,75,Ipswich Town,Premier League,England
Edoardo Bove,CM,75,Fiorentina,Serie A,Italy
Douglas Augusto,CM,75,FC Nantes,Ligue 1,Brazil
Luis Sinisterra,LM,75,AFC Bournemouth,Premier League,Colombia
Carney Chukwuemeka,CAM,75,Borussia Dortmund,Bundesliga,England
Darwin Machis,LM,75,Real Valladolid CF,La Liga,Venezuela
Rani Khedira,CDM,75,1. FC Union Berlin,Bundesliga,Germany
Reguilon,LB,75,Tottenham Hotspur,Premier League,Spain
Jamie Leweling,RM,75,VfB Stuttgart,Bundesliga,Germany
Aridane,CB,75,Rayo Vallecano,La Liga,Spain
David Brooks,RM,75,AFC Bournemouth,Premier League,Wales
Marco Grull,LM,75,SV Werder Bremen,Bundesliga,Austria
Giovanni Reyna,RM,75,Borussia Dortmund,Bundesliga,United States
Juan Soriano,GK,75,CD Leganés,La Liga,Spain
Dominic Calvert-Lewin,ST,75,Everton,Premier League,England
Abel Bretones,LB,75,CA Osasuna,La Liga,Spain
Ruben Pena,RB,75,CA Osasuna,La Liga,Spain
Junior Messias,RM,75,Genoa,Serie A,Brazil
Ezequiel Ponce,ST,75,Houston Dynamo,Major League Soccer,Argentina
Nikola Moro,CDM,75,Bologna,Serie A,Croatia
Christian Benteke,ST,75,DC United,Major League Soccer,Belgium
Toti,CB,75,Wolverhampton Wanderers,Premier League,Portugal
Juan Jesus,CB,75,Napoli,Serie A,Brazil
Tanguy Ndombele,CM,75,OGC Nice,Ligue 1,France
Omari Hutchinson,RM,75,Ipswich Town,Premier League,England
Mamadou Sarr,CB,75,RC Strasbourg Alsace,Ligue 1,France
Jauregizar,CM,75,Athletic Club,La Liga,Spain
Pepe Reina,GK,75,Como,Serie A,Spain
Nahuel Tenaglia,RB,75,Deportivo Alavés,La Liga,Argentina
Niklas Dorsch,CDM,75,1. FC Heidenheim 1846,Bundesliga,Germany
Arne Maier,CM,75,FC Augsburg,Bundesliga,Germany
Donovan Leon,GK,75,AJ Auxerre,Ligue 1,France
Pep Biel,CAM,75,Charlotte FC,Major League Soccer,Spain
Roberto Piccoli,ST,75,Cagliari,Serie A,Italy
Taiwo Awoniyi,ST,75,Nottingham Forest,Premier League,Nigeria
Andrea Pinamonti,ST,75,Genoa,Serie A,Italy
Ricardo Pereira,RB,75,Leicester City,Premier League,Portugal
M'Bala Nzola,ST,75,RC Lens,Ligue 1,Angola
Elia Caprile,GK,75,Cagliari,Serie A,Italy
Neal Maupay,ST,75,Olympique de Marseille,Ligue 1,France
Ricardo Rodriguez,CB,75,Real Betis Balompié,La Liga,Switzerland
Toni Martinez,ST,75,Deportivo Alavés,La Liga,Spain
Nikola Krstovic,ST,75,Lecce,Serie A,Montenegro
Kalvin Phillips,CDM,75,Ipswich Town,Premier League,England
Santiago Castro,ST,75,Bologna,Serie A,Argentina
Moritz Jenz,CB,75,1. FSV Mainz 05,Bundesliga,Germany
Kyle Walker-Peters,RB,75,Southampton,Premier League,England
Enzo Barrenechea,CDM,75,Valencia CF,La Liga,Argentina
Lloyd Kelly,CB,75,Juventus,Serie A,England
Kai Wagner,LB,75,Philadelphia Union,Major League Soccer,Germany
Christian Kouame,ST,75,Empoli,Serie A,Côte d'Ivoire
Hugo Alvarez,LM,75,RC Celta,La Liga,Spain
Darlington Nagbe,CM,75,Columbus Crew,Major League Soccer,United States
Gianluca Caprari,CAM,75,Monza,Serie A,Italy
Adria Pedrosa,LB,75,Sevilla FC,La Liga,Spain
Michel Aebischer,CM,75,Bologna,Serie A,Switzerland
Bernardo,LB,75,VfL Bochum 1848,Bundesliga,Brazil
Bernardo,LM,75,VfL Bochum 1848,Bundesliga,Brazil
Mathias Pereira Lage,LW,75,Stade Brestois 29,Ligue 1,Portugal
Frances,CB,75,Girona FC,La Liga,Spain
Moise Bombito,CB,75,OGC Nice,Ligue 1,Canada
Sean Longstaff,CM,75,Newcastle United,Premier League,England
Andre Blake,GK,75,Philadelphia Union,Major League Soccer,Jamaica
Antonin Kinsky,GK,75,Tottenham Hotspur,Premier League,Czechia
Jean-Charles Castelletto,CB,75,FC Nantes,Ligue 1,Cameroon
Javi Munoz,CM,75,UD Las Palmas,La Liga,Spain
Walker Zimmerman,CB,75,Nashville SC,Major League Soccer,United States
Josep Martinez,GK,75,Inter,Serie A,Spain
Andre Gomes,GK,75,Lille OSC,Ligue 1,Portugal
Musa Al Tamari,RM,75,Stade Rennais FC,Ligue 1,Jordan
Maximilian Eggestein,CDM,75,SC Freiburg,Bundesliga,Germany
Adrian Bernabe,CAM,75,Parma,Serie A,Spain
Becir Omeragic,CB,75,Montpellier HSC,Ligue 1,Switzerland
Aster Vranckx,CM,75,VfL Wolfsburg,Bundesliga,Belgium
Johan Vasquez,CB,75,Genoa,Serie A,Mexico
Joris Chotard,CDM,75,Montpellier HSC,Ligue 1,France
Pablo Rosario,CDM,75,OGC Nice,Ligue 1,Holland
Archie Gray,CDM,75,Tottenham Hotspur,Premier League,England
Emil Holm,RM,75,Bologna,Serie A,Sweden
Alexander Prass,CM,75,TSG 1899 Hoffenheim,Bundesliga,Austria
Finn Dahmen,GK,75,FC Augsburg,Bundesliga,Germany
Merlin Rohl,CM,75,SC Freiburg,Bundesliga,Germany
Sandro,ST,75,UD Las Palmas,La Liga,Spain
Conor Chaplin,CAM,75,Ipswich Town,Premier League,England
Nathaniel Brown,LB,75,Eintracht Frankfurt,Bundesliga,Germany
Wesley Said,ST,75,RC Lens,Ligue 1,France
Joseph Aidoo,CB,75,Real Valladolid CF,La Liga,Ghana
Patrick Mainka,CB,75,1. FC Heidenheim 1846,Bundesliga,Germany
Luca Ranieri,CB,75,Fiorentina,Serie A,Italy
Yeimar Gomez Andrade,CB,75,Seattle Sounders FC,Major League Soccer,Colombia
Dara O'Shea,CB,75,Ipswich Town,Premier League,Republic of Ireland
Campana,CM,75,UD Las Palmas,La Liga,Spain
Salih Ozcan,CDM,75,Borussia Dortmund,Bundesliga,Turkey
Jack Harrison,RM,75,Everton,Premier League,England
Rodrigo Muniz,ST,75,Fulham FC,Premier League,Brazil
Abel Ruiz,ST,75,Girona FC,La Liga,Spain
Patrick Cutrone,ST,75,Como,Serie A,Italy
Krepin Diatta,RM,75,AS Monaco,Ligue 1,Senegal
Keane Lewis-Potter,LW,75,Brentford,Premier League,England
Alexander Meyer,GK,75,Borussia Dortmund,Bundesliga,Germany
Philipp Sander,CM,75,Borussia Mönchengladbach,Bundesliga,Germany
Dario Essugo,CDM,75,UD Las Palmas,La Liga,Portugal
Goncalo Guedes,ST,75,Wolverhampton Wanderers,Premier League,Portugal
Fabiano Parisi,LB,75,Fiorentina,Serie A,Italy
Lucas Tousart,CDM,75,1. FC Union Berlin,Bundesliga,France
Takuma Asano,RM,75,RCD Mallorca,La Liga,Japan
Dany Mota,ST,75,Monza,Serie A,Portugal
Kiko Femenia,RB,75,Villarreal CF,La Liga,Spain
Marcel Hartel,CM,75,St. Louis CITY SC,Major League Soccer,Germany
Andreas Hanche-Olsen,CB,75,1. FSV Mainz 05,Bundesliga,Norway
Kike Garcia,ST,75,Deportivo Alavés,La Liga,Spain
Manu Sanchez,LB,75,Deportivo Alavés,La Liga,Spain
Manu Sanchez,RB,75,Deportivo Alavés,La Liga,Spain
Florian Thauvin,ST,75,Udinese,Serie A,France
Josha Vagnoman,RB,75,VfB Stuttgart,Bundesliga,Germany
Andre Almeida,CM,75,Valencia CF,La Liga,Portugal
Jackson Irvine,CM,75,FC St. Pauli,Bundesliga,Australia
Victor Kristiansen,LB,75,Leicester City,Premier League,Denmark
Aissa Mandi,CB,75,Lille OSC,Ligue 1,Algeria
Facundo Buonanotte,RM,75,Leicester City,Premier League,Argentina
Pol Lozano,CDM,75,RCD Espanyol,La Liga,Spain
Djordje Mihailovic,CAM,75,Colorado Rapids,Major League Soccer,United States
Lorenzo Lucca,ST,75,Udinese,Serie A,Italy
Jordan Lotomba,RB,75,Feyenoord,Eredivisie,Switzerland
Ethan Nwaneri,CAM,75,Arsenal,Premier League,England
Florian Neuhaus,CM,75,Borussia Mönchengladbach,Bundesliga,Germany
Maarten Vandevoordt,GK,75,RB Leipzig,Bundesliga,Belgium
Harry Winks,CDM,75,Leicester City,Premier League,England
Jean-Ricner Bellegarde,CM,75,Wolverhampton Wanderers,Premier League,France
Manu Morlanes,CM,75,RCD Mallorca,La Liga,Spain
Javi Guerra,CM,75,Valencia CF,La Liga,Spain
Ondrej Duda,CM,75,Hellas Verona FC,Serie A,Slovakia
Remy Cabella,CAM,75,Lille OSC,Ligue 1,France
Daniel Gazdag,CAM,75,Columbus Crew,Major League Soccer,Hungary
Boubakary Soumare,CDM,75,Leicester City,Premier League,France
James Garner,CM,75,Everton,Premier League,England
Valentin Barco,LB,75,RC Strasbourg Alsace,Ligue 1,Argentina
Adnan Januzaj,RW,75,UD Las Palmas,La Liga,Belgium
Pedraza,LB,75,Villarreal CF,La Liga,Spain
Lukas Kubler,RB,75,SC Freiburg,Bundesliga,Germany
Diego Moreira,LM,75,RC Strasbourg Alsace,Ligue 1,Portugal
Marc Casado,CDM,75,FC Barcelona,La Liga,Spain
Jaden Philogene,LM,75,Ipswich Town,Premier League,England
Tyrell Malacia,LB,75,PSV,Eredivisie,Holland
Ernest Nuamah,RW,75,Olympique Lyonnais,Ligue 1,Ghana
Aihen Munoz,LB,75,Real Sociedad,La Liga,Spain
Mohamed-Ali Cho,RW,75,OGC Nice,Ligue 1,France
Jubal,CB,75,AJ Auxerre,Ligue 1,Brazil
Juan David Cabal,LB,75,Juventus,Serie A,Colombia
Lorenz Assignon,RB,75,Stade Rennais FC,Ligue 1,France
Dejan Joveljic,ST,75,Sporting Kansas City,Major League Soccer,Serbia
Jordan Ferri,CDM,75,Montpellier HSC,Ligue 1,France
Mahmoud Dahoud,CM,75,Eintracht Frankfurt,Bundesliga,Germany
Copete,CB,75,RCD Mallorca,La Liga,Spain
Yukinari Sugawara,RB,75,Southampton,Premier League,Japan
Matthis Abline,ST,75,FC Nantes,Ligue 1,France
Edu Exposito,CM,75,RCD Espanyol,La Liga,Spain
Ramon Sosa,LM,75,Nottingham Forest,Premier League,Paraguay
Christopher Trimmel,RB,75,1. FC Union Berlin,Bundesliga,Austria
Billy Gilmour,CDM,75,Napoli,Serie A,Scotland
Mattia De Sciglio,RB,75,Empoli,Serie A,Italy
Valentin Rosier,RB,75,CD Leganés,La Liga,France
Carmona,RM,75,Sevilla FC,La Liga,Spain
Omar Mascarell,CM,75,RCD Mallorca,La Liga,Spain
Jesper Lindstrøm,CAM,75,Everton,Premier League,Denmark
Duje Caleta-Car,CB,75,Olympique Lyonnais,Ligue 1,Croatia
Vincent Sierro,CM,75,Toulouse FC,Ligue 1,Switzerland
Ben Mee,CB,75,Brentford,Premier League,England
Jarell Quansah,CB,75,Liverpool,Premier League,England
Diego Rossi,CAM,75,Columbus Crew,Major League Soccer,Uruguay
Dominik Kohr,CB,75,1. FSV Mainz 05,Bundesliga,Germany
Ruben Vargas,LM,75,Sevilla FC,La Liga,Switzerland
Andy Diouf,CM,75,RC Lens,Ligue 1,France
Gaetano Castrovilli,CM,75,Monza,Serie A,Italy
Vladimir Coufal,RB,75,West Ham United,Premier League,Czechia
Jens-Lys Cajuste,CDM,75,Ipswich Town,Premier League,Sweden
Adrien Tameze,CB,75,Torino,Serie A,France
Kristjan Asllani,CDM,75,Inter,Serie A,Albania
Cesar Tarrega,CB,75,Valencia CF,La Liga,Spain
Alberto Moreno,LB,75,Como,Serie A,Spain
Phillip Tietz,ST,74,FC Augsburg,Bundesliga,Germany
Brian White,ST,74,Vancouver Whitecaps FC,Major League Soccer,United States
Fabio Miretti,CM,74,Genoa,Serie A,Italy
Ayase Ueda,ST,74,Feyenoord,Eredivisie,Japan
Vesga,CM,74,Athletic Club,La Liga,Spain
Abdoulaye Doucoure,CAM,74,Everton,Premier League,Mali
Aaron,GK,74,Genoa,Serie A,Spain
Aaron,LB,74,Genoa,Serie A,Spain
Maduka Okoye,GK,74,Udinese,Serie A,Nigeria
Jon Mikel Aramburu,RB,74,Real Sociedad,La Liga,Venezuela
Eduard Atuesta,CM,74,Orlando City SC,Major League Soccer,Colombia
Tajon Buchanan,RM,74,Villarreal CF,La Liga,Canada
Gabriel Suazo,LB,74,Toulouse FC,Ligue 1,Chile
Abdoulaye Toure,CDM,74,Le Havre AC,Ligue 1,Guinea
Alberto Dossena,CB,74,Como,Serie A,Italy
Mark McKenzie,CB,74,Toulouse FC,Ligue 1,United States
Remko Pasveer,GK,74,Ajax,Eredivisie,Holland
Jackson Tchatchoua,RB,74,Hellas Verona FC,Serie A,Cameroon
Marco Silvestri,GK,74,Empoli,Serie A,Italy
Marvin Friedrich,CB,74,Borussia Mönchengladbach,Bundesliga,Germany
Nicolas Cozza,LB,74,FC Nantes,Ligue 1,France
Tanguy Nianzou,CB,74,Sevilla FC,La Liga,France
Joaquin Correa,ST,74,Inter,Serie A,Argentina
Marin Pongracic,CB,74,Fiorentina,Serie A,Croatia
Jack Hinshelwood,CDM,74,Brighton & Hove Albion,Premier League,England
Jan Schoppner,CDM,74,1. FC Heidenheim 1846,Bundesliga,Germany
Razvan Marin,CM,74,Cagliari,Serie A,Romania
Luca Pellegrini,LB,74,Lazio,Serie A,Italy
Branco van den Boomen,CM,74,Ajax,Eredivisie,Holland
Stefano Turati,GK,74,Monza,Serie A,Italy
Ali Abdi,LB,74,OGC Nice,Ligue 1,Tunisia
Kristijan Kahlina,GK,74,Charlotte FC,Major League Soccer,Croatia
Nikola Vasilj,GK,74,FC St. Pauli,Bundesliga,Bosnia and Herzegovina
Koni De Winter,CB,74,Genoa,Serie A,Belgium
Guridi,CAM,74,Deportivo Alavés,La Liga,Spain
Christopher Wooh,CB,74,Stade Rennais FC,Ligue 1,Cameroon
Patrick Osterhage,CDM,74,SC Freiburg,Bundesliga,Germany
Pavel Bucha,CDM,74,FC Cincinnati,Major League Soccer,Czech Republic
Ivan Jaime,LM,74,Valencia CF,La Liga,Spain
Akieme,LB,74,Stade de Reims,Ligue 1,Spain
Dani Raba,RM,74,CD Leganés,La Liga,Spain
Williot Swedberg,CM,74,RC Celta,La Liga,Sweden
Pierluigi Gollini,GK,74,Roma,Serie A,Italy
Michel Vlap,LM,74,FC Twente,Eredivisie,Holland
Johann Lepenant,CDM,74,FC Nantes,Ligue 1,France
Axel Tuanzebe,CB,74,Ipswich Town,Premier League,England
Pablo Mari,CB,74,Fiorentina,Serie A,Spain
Tijjani Noslin,ST,74,Lazio,Serie A,Holland
Elvis Rexhbecaj,CM,74,FC Augsburg,Bundesliga,Kosovo
Derek Cornelius,CB,74,Olympique de Marseille,Ligue 1,Canada
Ismael Doukoure,CDM,74,RC Strasbourg Alsace,Ligue 1,France
Pep Chavarria,LB,74,Rayo Vallecano,La Liga,Spain
Sven Mijnans,CM,74,AZ Alkmaar,Eredivisie,Holland
Kialonda Gaspar,CB,74,Lecce,Serie A,Angola
Gautier Larsonneur,GK,74,AS Saint-Étienne,Ligue 1,France
Zuriko Davitashvili,LM,74,AS Saint-Étienne,Ligue 1,Georgia
Toni Lato,LB,74,RCD Mallorca,La Liga,Spain
Souffian El Karouani,LB,74,FC Utrecht,Eredivisie,Morocco
Emmanuel Gyasi,RM,74,Empoli,Serie A,Ghana
Ashley Young,RB,74,Everton,Premier League,England
Aurelio Buta,RM,74,Stade de Reims,Ligue 1,Portugal
Fares Chaibi,CAM,74,Eintracht Frankfurt,Bundesliga,Algeria
Gautier Lloris,CB,74,Le Havre AC,Ligue 1,France
Abdoulaye Ndiaye,CB,74,Stade Brestois 29,Ligue 1,Senegal
Isaac,ST,74,Sevilla FC,La Liga,Spain
Jakub Kaminski,LM,74,VfL Wolfsburg,Bundesliga,Poland
