name,positions,rating,club,league,nationality
Lennon Miller,CM;CDM,66,Motherwell,Scottish Prem,Scotland
Federico Milo,LB,66,Ind. Rivadavia,Primera División,Argentina
Juan José Mina,RB,66,Estrela Amadora,Liga Portugal,Colombia
Ming Tian,RB,66,Tianjin JMT FC,CSL,China PR
Leonardo Rocha,ST,66,Radomiak Radom,PKO BP Ekstraklasa,Portugal
Damon Mirani,CB;CDM,66,Heracles Almelo,Eredivisie,Holland
Juan Bautista Miritello,ST,66,Defensa,Sudamericana,Argentina
Cezary Miszta,GK,66,Rio Ave FC,Liga Portugal,Poland
Jeyland Mitchell,CB,66,Feyenoord,Eredivisie,Costa Rica
Bogdan Mitrea,CB,66,FC Univ. Cluj,SUPERLIGA,Romania
Rui Mendes,RM;RW,66,FC Groningen,Eredivisie,Portugal
Cris Montes,RM;RW,66,CD Eldense,LALIGA HYPERMOTION,Spain
Lucas Monzón,CB;LB,66,Racing Club,Sudamericana,Brazil
Moon Seon Min,LM;LW,66,Jeonbuk Hyundai,K League 1,Korea Republic
Rodrigo Mora,CAM;CM;LW,66,FC Porto,Liga Portugal,Portugal
Iván Morante,CDM;CM,66,Burgos CF,LALIGA HYPERMOTION,Spain
Pol Moreno,CB,66,R. Racing Club,LALIGA HYPERMOTION,Spain
Nicolás Morgantini,RB;LB,66,Lanús,Sudamericana,Argentina
Fabián Mosquera,CDM;CB,66,Deportes Tolima,Sudamericana,Colombia
Juan David Mosquera,RB;RM,66,Portland Timbers,MLS,Colombia
Lukas Mühl,CB,66,FC Winterthur,CSSL,Germany
Alexander Mühling,CM,66,SV Sandhausen,3. Liga,Germany
Vincent Müller,GK,66,AaB,3F Superliga,Germany
Valentino Müller,CDM;CM,66,WSG Tirol,Ö. Bundesliga,Austria
Luis Muñoz,CM;CDM;LM,66,FC Cartagena,LALIGA HYPERMOTION,Spain
Ian Murphy,CB,66,FC Cincinnati,MLS,United States
Alexandru Musi,RW;ST;RM,66,FCSB,SUPERLIGA,Romania
Bahlul Mustafazada,CB,66,Qarabağ FK,Liga Azerbaijan,Azerbaijan
Marlon Suliman Mustapha,ST,66,Fürth,Bundesliga 2,Austria
Ibrahim Mustapha,ST,66,LASK,Ö. Bundesliga,Ghana
Tristan Muyumba,CDM;CM,66,Atlanta United,MLS,France
Felix Horn Myhre,CM;RB,66,SK Brann,Eliteserien,Norway
Konan N'Dri,RM;LM;ST;RW,66,OH Leuven,1A Pro League,Côte d'Ivoire
Adi Nalić,CAM;ST;CM,66,Almere City FC,Eredivisie,Bosnia and Herzegovina
Gian Nardelli,CB;RB,66,Tigre,Primera División,Argentina
Jhon Narváez,CB;RB,66,ADT,Sudamericana,Ecuador
Zé Carlos,RB,66,Vitória SC,Liga Portugal,Portugal
Rafael Navarro,ST,66,Colorado Rapids,MLS,Brazil
Tom Naylor,CDM;CM,66,Chesterfield,EFL League Two,England
Mor Ndiaye,CDM;CM,66,Estoril Praia,Liga Portugal,Senegal
Abdallah Ndour,LB;RB,66,En Avant Guingamp,Ligue 2 BKT,Senegal
Jalen Neal,CB,66,LA Galaxy,MLS,United States
Dragoș Nedelcu,CDM;CB;CM,66,Farul Constanța,SUPERLIGA,Romania
Camiel Neghli,RM;RW,66,Sparta Rotterdam,Eredivisie,Algeria
Stefano Negro,CB,66,Cittadella,Serie BKT,Italy
Cristian Neguț,RM;ST;LM;RW,66,FC Hermannstadt,SUPERLIGA,Romania
Nico Neidhart,RB;RM,66,FC Hansa Rostock,3. Liga,Germany
Jayden Nelson,LW;LM,66,SSV Ulm 1846,Bundesliga 2,Canada
Jakob Nerwinski,RB;CB,66,St. Louis CITY SC,MLS,United States
Mihajlo Nešković,LM;LW;CAM,66,Sepsi OSK,SUPERLIGA,Serbia
Francisco Ramos,CM;CDM,66,Radomiak Radom,PKO BP Ekstraklasa,Portugal
Richard Neudecker,CM,66,Saarbrücken,3. Liga,Germany
Yeni Ngbakoto,LM;ST;RM;LW,66,Vejle Boldklub,3F Superliga,Congo DR
Hans Nicolussi Caviglia,CM,66,Venezia,Serie A Enilive,Italy
Diogo Sousa,GK,66,Bodrum FK,Trendyol Süper Lig,Portugal
Alexander Nollenberger,LW;LM;RM,66,1. FC Magdeburg,Bundesliga 2,Germany
Sam Nombe,ST,66,Rotherham Utd,EFL League One,England
Ollie Norburn,CM;CDM,66,Blackpool,EFL League One,Grenada
Osnar Noronha,ST;LW;RW,66,UCV,Sudamericana,Peru
Andrija Novakovich,ST,66,Bari,Serie BKT,United States
Hernán Novick,CAM,66,Danubio,Sudamericana,Uruguay
Nachon Nsingi,ST,66,USL Dunkerque,Ligue 2 BKT,Belgium
Emmanuel Ntim,CB,66,SM Caen,Ligue 2 BKT,Ghana
Atdhe Nuhiu,ST,66,SCR Altach,Ö. Bundesliga,Kosovo
Sergio Núñez,ST,66,Cerro Largo,Sudamericana,Uruguay
George Nurse,LB;CB,66,Shrewsbury,EFL League One,England
Sverre Halseth Nypan,CAM;CM;ST,66,Rosenborg BK,Eliteserien,Norway
Eoghan O'Connell,CB,66,Wrexham,EFL League One,Republic of Ireland
Paudie O'Connor,CB,66,Lincoln City,EFL League One,Republic of Ireland
Dorinel Oancea,RB;LB,66,FC Univ. Cluj,SUPERLIGA,Romania
Allen Obando,ST,66,Barcelona SC,Libertadores,Ecuador
Jordan Obita,LB,66,Hibernian,Scottish Prem,England
Yutaro Oda,RM;RW;CAM,66,Hearts,Scottish Prem,Japan
Mohamed Ofkir,LW;RW;ST;LM,66,HamKam Fotball,Eliteserien,Norway
Nathanael Ogbeta,LB,66,Plymouth Argyle,EFL Championship,England
Takuya Ogiwara,LB;LM;RB,66,Dinamo Zagreb,Liga Hrvatska,Japan
Oh Ban Suk,CB,66,Incheon United,K League 1,Korea Republic
Yuki Ohashi,ST;CAM,66,Blackburn Rovers,EFL Championship,Japan
Arthur Okonkwo,GK,66,Wrexham,EFL League One,England
Elías Rafn Ólafsson,GK,66,FC Midtjylland,3F Superliga,Iceland
Kazeem Olaigbe,LM;CAM;RM;LW,66,Cercle Brugge,1A Pro League,Belgium
Aaron Olanare,ST,66,Molde FK,Eliteserien,Nigeria
Mathias Olesen,CM;CAM,66,1. FC Köln,Bundesliga 2,Luxembourg
Baltazar,CDM;CM;LB,66,FC Sion,CSSL,Brazil
Gabriel Tigrão,RM;RW;ST,66,GwangJu FC,K League 1,Brazil
Eric Johana Omondi,LM;ST;LW,66,UTA Arad,SUPERLIGA,Kenya
Nicholas Opoku,CB,66,Kasımpaşa,Trendyol Süper Lig,Ghana
Nathan Opoku,ST,66,Leicester City,Premier League,Ghana
Fredrik Oppegård,LB,66,PSV,Eredivisie,Norway
Raul Opruț,LB,66,FC Dinamo 1948,SUPERLIGA,Romania
Ragnar Oratmangoen,LM;CAM;LW,66,FCV Dender EH,1A Pro League,Indonesia
Jandro Orellana,CDM;CM,66,Estoril Praia,Liga Portugal,Spain
Alexander Oroz,RW;LW;RM,66,Colo-Colo,Libertadores,Chile
Bryant Ortega,CDM;CM,66,Caracas FC,Libertadores,Venezuela
Ibrahim Osman,LM;ST;LW,66,Feyenoord,Eredivisie,Ghana
Luciano Ospina,CB,66,Alianza FC,Sudamericana,Colombia
Tomáš Ostrák,RM;LM;CAM;RW,66,St. Louis CITY SC,MLS,Czech Republic
Robin Østrøm,LB;RB;CB,66,Silkeborg IF,3F Superliga,Norway
Severin Ottiger,RB,66,FC Luzern,CSSL,Switzerland
David Otto,ST,66,SV Sandhausen,3. Liga,Germany
Anas Ouahim,CAM;CM,66,Sydney FC,A-League,Morocco
Peter Ouaneh,CB,66,Laval MFC,Ligue 2 BKT,France
Owono,GK,66,D. Alavés,LALIGA EA SPORTS,Equatorial Guinea
Anthony Oyono,RB;LB,66,Frosinone,Serie BKT,Gabon
Guillermo Pacheco,RB,66,Cobresal,Libertadores,Chile
Manuel Palacios,LW;ST;RW;LM,66,Rongcheng FC,CSL,Colombia
Romal Palmer,CM;CAM;CDM,66,St. Pats,SSE Airtricity PD,England
Radovan Pankov,CB,66,Legia Warszawa,PKO BP Ekstraklasa,Serbia
Sotirios Papagiannopoulos,CB,66,AIK,Allsvenskan,Sweden
Merveille Papela,CM;CDM,66,SV Darmstadt 98,Bundesliga 2,Germany
Andrea Papetti,CB,66,Brescia,Serie BKT,Italy
Park Cheol Woo,LB;LM;LW,66,Suwon FC,K League 1,Korea Republic
Álex Pastor,CB;RB,66,Málaga CF,LALIGA HYPERMOTION,Spain
David Pavelka,CM;CDM,66,Sparta Praha,Česká Liga,Czech Republic
Luis Pavia,RM;CM;CAM;RW,66,Nacional Potosí,Sudamericana,Bolivia
Patryk Peda,CB;RB,66,Palermo,Serie BKT,Poland
Joey Pelupessy,CDM;CM,66,FC Groningen,Eredivisie,Holland
Diego Penny,GK,66,Dep. Garcilaso,Sudamericana,Peru
Philipp Pentke,GK,66,1. FC Köln,Bundesliga 2,Germany
Mirnes Pepić,CM;CDM,66,FC Erzgebirge Aue,3. Liga,Montenegro
Kwame Peprah,ST;LM,66,Kerala Blasters,ISL,Ghana
Dani Pereira,CM;CDM,66,Austin FC,MLS,Venezuela
Patricio Pernicone,CB,66,Vélez Sarsfield,Primera División,Argentina
Isak Pettersson,GK,66,IF Elfsborg,Allsvenskan,Sweden
Álex Petxa,RB;CB,66,RC Deportivo,LALIGA HYPERMOTION,Spain
Franz Pfanne,CB;CDM,66,FC Hansa Rostock,3. Liga,Germany
Killian Phillips,CM;CAM,66,St. Mirren,Scottish Prem,Republic of Ireland
Ashley Phillips,CB,66,Stoke City,EFL Championship,England
Adam Phillips,CM;CAM,66,Barnsley,EFL League One,England
Dillon Phillips,GK,66,Rotherham Utd,EFL League One,England
Daniel Phillips,CDM;CM,66,Stevenage,EFL League One,Trinidad and Tobago
Hugo Picard,LM;CM;LW,66,En Avant Guingamp,Ligue 2 BKT,France
Rodrigo Pinheiro,RB,66,FC Famalicão,Liga Portugal,Portugal
Lenny Pintor,LM;RM;RW;LW,66,LASK,Ö. Bundesliga,France
Simon Pirkl,LB;CB,66,Blau-Weiss Linz,Ö. Bundesliga,Austria
Mihai Popescu,CB,66,FCSB,SUPERLIGA,Romania
Albert Posiadała,GK,66,Molde FK,Eliteserien,Poland
Virgiliu Postolachi,ST;RM,66,CFR 1907 Cluj,SUPERLIGA,Moldova
Darío Poveda,ST;RM;LM,66,Farense,Liga Portugal,Spain
Joe Powell,CM;CDM,66,Rotherham Utd,EFL League One,England
Alvas Powell,RB;RM,66,FC Cincinnati,MLS,Jamaica
Nick Powell,CAM;CM;ST,66,Stockport,EFL League One,England
Ijiel Protti,RM;CAM;LM;RW,66,Tigre,Primera División,Argentina
Dominik Prpić,CB,66,Hajduk Split,Liga Hrvatska,Croatia
Kacper Przybyłko,ST,66,FC Lugano,CSSL,Poland
Christophe Psyché,CB,66,Tromsø IL,Eliteserien,France
Arkadiusz Pyrka,RB;RM,66,Piast Gliwice,PKO BP Ekstraklasa,Poland
Stephen Quemper,LB,66,AC Ajaccio,Ligue 2 BKT,France
Joshué Quiñonez,CB,66,U. Católica,Sudamericana,Ecuador
Wilson Quiñónez,GK,66,S. Trinidense,Sudamericana,Paraguay
Stipe Radić,CB,66,Viborg FF,3F Superliga,Croatia
Diego Ramírez,CAM;CM,66,Dep. Garcilaso,Sudamericana,Peru
Lilian Raolisoa,RB;RM,66,Angers SCO,Ligue 1 McDonald's,France
Damian Rasak,CDM,66,Górnik Zabrze,PKO BP Ekstraklasa,Poland
Robin Rasch,CDM;CM,66,KFUM-Kameratene,Eliteserien,Norway
Djorkaeff Reasco,ST;CAM,66,Barcelona SC,Libertadores,Ecuador
Constantin Reiner,CB,66,Piast Gliwice,PKO BP Ekstraklasa,Austria
Hernán Rengifo,ST,66,ADT,Sudamericana,Peru
Stije Resink,CM;CDM,66,Almere City FC,Eredivisie,Holland
Taylor Richards,CAM;CM,66,Cambridge Utd,EFL League One,England
Florian Rieder,LM;LW,66,WSG Tirol,Ö. Bundesliga,Austria
Søren Rieks,LM;LW,66,Malmö FF,Allsvenskan,Denmark
José-Enrique Ríos Alonso,CB,66,Rot-Weiss Essen,3. Liga,Germany
Simón Rivero,CM;LM;RM,66,Unión,Primera División,Argentina
Juan Rivero,LW;LM;RW,66,Racing Club,Sudamericana,Uruguay
Marcos Riveros,CM;CDM,66,S. Trinidense,Sudamericana,Paraguay
Paul Riveros,CB,66,Guaraní,Sudamericana,Paraguay
Daniel Rivillo,RB,66,Caracas FC,Libertadores,Venezuela
Marc Roberts,CB,66,Barnsley,EFL League One,England
Liam Roberts,GK,66,Millwall,EFL Championship,England
Matej Rodin,CB,66,Raków,PKO BP Ekstraklasa,Croatia
Hernandes,ST;RW,66,Jeonbuk Hyundai,K League 1,Brazil
Tiago Dias,RM;LM;RW,66,Casa Pia AC,Liga Portugal,Portugal
Memo Rodriguez,LM;CM;RM;LW,66,Sporting KC,MLS,United States
Randall Rodríguez,GK,66,Vélez Sarsfield,Primera División,Uruguay
Lucas Rodríguez,CDM;CM,66,Racing Club,Sudamericana,Uruguay
Pablo Rodríguez,ST;CAM,66,R. Racing Club,LALIGA HYPERMOTION,Spain
David Rodríguez,RB;CB,66,CD Tenerife,LALIGA HYPERMOTION,Spain
Robin Roefs,GK,66,N.E.C. Nijmegen,Eredivisie,Holland
Fabian Rohner,RM;RW,66,FC Winterthur,CSSL,Switzerland
Ole Romeny,RM;LM;RW,66,FC Utrecht,Eredivisie,Holland
Marcel Rømer,CDM;CM,66,Lyngby BK,3F Superliga,Denmark
Fernando Romero,ST,66,Ind. Rivadavia,Primera División,Paraguay
Romero,LM;RM;CAM;LW,66,CD Tenerife,LALIGA HYPERMOTION,Spain
Romario Rösch,LM;RM;LW,66,SSV Ulm 1846,Bundesliga 2,Germany
Max Rosenfelder,CB,66,SC Freiburg,Bundesliga,Germany
Mathias Ross,CB,66,Sparta Praha,Česká Liga,Denmark
Baptiste Roux,CB;CDM;CM,66,AVS Futebol SAD,Liga Portugal,France
Jesús Ruiz,GK,66,Racing de Ferrol,LALIGA HYPERMOTION,Spain
Milan Rundić,CB,66,Raków,PKO BP Ekstraklasa,Serbia
Nazariy Rusyn,ST,66,Sunderland,EFL Championship,Ukraine
Espen Ruud,RB,66,Odds BK,Eliteserien,Norway
Noah Wail Jacob Sadaoui,LM;ST;RW;LW,66,Kerala Blasters,ISL,Morocco
Richie Sagrado,RM;RB;LB;RW,66,Venezia,Serie A Enilive,Belgium
Ibrahim Said,RW;LW;RM,66,Viborg FF,3F Superliga,Nigeria
Íñigo Sainz-Maza,CDM;CM,66,R. Racing Club,LALIGA HYPERMOTION,Spain
Matheus Índio,CDM;CM,66,Qingdao W. Coast,CSL,Brazil
Lars-Jørgen Salvesen,ST,66,Viking FK,Eliteserien,Norway
Nicolas Samayoa,CB,66,Politehnica Iași,SUPERLIGA,Guatemala
Christian Joel Sánchez,GK,66,R. Sporting,LALIGA HYPERMOTION,Cuba
Raúl Sánchez,LM;LB;LW,66,CD Castellón,LALIGA HYPERMOTION,Spain
Luca Sangalli,CM;CAM;RM,66,Málaga CF,LALIGA HYPERMOTION,Spain
Marco Sangalli,RM;LM;RW,66,R. Racing Club,LALIGA HYPERMOTION,Spain
Jordán Santacruz,CDM;CM,66,Club Nacional,Sudamericana,Paraguay
Rodrigo Henrique,CAM;LM,66,Meizhou Hakka FC,CSL,Brazil
Cristian Săpunaru,CB,66,FC Rapid 1923,SUPERLIGA,Romania
Marco Saravia,CB,66,Universitario,Libertadores,Peru
Bogdan Sarnavskyi,GK,66,Lechia Gdańsk,PKO BP Ekstraklasa,Ukraine
Giacomo Satalino,GK,66,Sassuolo,Serie BKT,Italy
Giannis Satsias,CM;CDM,66,APOEL FC,Liga Cyprus,Cyprus
Leo Sauer,LW;CAM;LM,66,NAC Breda,Eredivisie,Slovakia
Alexis Sauvage,GK,66,Amiens SC,Ligue 2 BKT,France
Gökhan Sazdağı,RB;ST;LM,66,Kayserispor,Trendyol Süper Lig,Turkey
Nicolas Schmid,GK,66,Portsmouth,EFL Championship,Austria
Joël Schmied,CB,66,FC Sion,CSSL,Switzerland
Randy Schneider,CAM,66,FC Winterthur,CSSL,Switzerland
Augusto Schott,RB;LB,66,Newell's,Primera División,Argentina
Erik Schouten,CB,66,Willem II,Eredivisie,Holland
Tim Schreiber,GK,66,Dynamo Dresden,3. Liga,Germany
Luca Schuler,ST,66,Hertha BSC,Bundesliga 2,Germany
Kevin Schumacher,LM;LW,66,FC Hansa Rostock,3. Liga,Germany
Marco Schuster,CDM;CM;CB,66,FC Hansa Rostock,3. Liga,Germany
Markus Schwabl,RB;CB,66,Unterhaching,3. Liga,Germany
Josh Scowen,CDM;CM,66,Wycombe,EFL League One,England
Sebastian S. Sebulonsen,RB,66,Brøndby IF,3F Superliga,Norway
Demba Seck,RM;LM;ST;RW,66,Catanzaro,Serie BKT,Senegal
Jenson Seelt,CB;RB,66,Sunderland,EFL Championship,Holland
Telasco Segovia,CM;CDM,66,Casa Pia AC,Liga Portugal,Venezuela
Václav Sejk,ST,66,Zagłębie Lubin,PKO BP Ekstraklasa,Czech Republic
Ayumu Seko,CB;CDM;CM,66,GC Zürich,CSSL,Japan
Batuhan Şen,GK,66,Galatasaray,Trendyol Süper Lig,Turkey
Jota,CM,66,Nacional,Liga Portugal,Portugal
Cemali Sertel,LB;CB,66,Hatayspor,Trendyol Süper Lig,Turkey
Filippo Sgarbi,CB,66,Cosenza,Serie BKT,Italy
Joe Shaughnessy,CB,66,Dundee FC,Scottish Prem,Republic of Ireland
Evgeniy Shikavka,ST,66,Korona Kielce,PKO BP Ekstraklasa,Belarus
Mahamé Siby,CDM;CM,66,FC Martigues,Ligue 2 BKT,Mali
Jörg Siebenhandl,GK,66,LASK,Ö. Bundesliga,Austria
Benjamin Siegrist,GK,66,FC Rapid 1923,SUPERLIGA,Switzerland
Dávid Sigér,CM;CDM,66,Sepsi OSK,SUPERLIGA,Hungary
Viljami Sinisalo,GK,66,Celtic,Scottish Prem,Finland
Sphephelo Sithole,CDM;CM,66,Gil Vicente,Liga Portugal,South Africa
Mario Šitum,RB;RM,66,Catanzaro,Serie BKT,Croatia
Simon Skarlatidis,RM;LM;CM;RW,66,Unterhaching,3. Liga,Germany
Simon Skrabb,RW;CAM;RM,66,Kalmar FF,Allsvenskan,Finland
Thierry Small,LB;LM,66,Charlton Ath,EFL League One,England
Michael Smith,ST,66,Sheffield Wed,EFL Championship,England
Korey Smith,CDM;CM;RB,66,Cambridge Utd,EFL League One,England
Kyle Smith,RB;LB,66,Orlando City,MLS,United States
Franco Soldano,ST;RM;CAM,66,Unión La Calera,Sudamericana,Argentina
Matteo Solini,CB,66,Mantova,Serie BKT,Italy
Song Ju Hun,CB,66,Jeju United,K League 1,Korea Republic
Patrick Sontheimer,CDM,66,Saarbrücken,3. Liga,Germany
Sondre Sørli,RW;RM,66,FK Bodø/Glimt,Eliteserien,Norway
Joaquín Sosa,CB;LB,66,CF Montréal,MLS,Uruguay
Samuel Souprayen,CB,66,Melbourne City,A-League,France
Cristian Souza,RW;LM;RM,66,FC Sion,CSSL,Uruguay
Jack Sowerby,CDM;CM,66,Northampton,EFL League One,England
Kevin Spadanuda,LM;LW,66,FC Luzern,CSSL,Switzerland
Brodie Spencer,RB;LB;RM,66,Huddersfield,EFL League One,Northern Ireland
Tommy St. Jago,RB;CB,66,Willem II,Eredivisie,Holland
Michael Steinwender,CB,66,IFK Värnamo,Allsvenskan,Austria
Adam Stejskal,GK,66,WSG Tirol,Ö. Bundesliga,Czech Republic
Daniel Stensson,CDM;CM,66,Djurgårdens IF,Allsvenskan,Sweden
Luka Stojković,CAM;LW,66,Dinamo Zagreb,Liga Hrvatska,Croatia
Sebastian Stolze,RM;RW,66,SV Sandhausen,3. Liga,Germany
Mathías Suárez,LB,66,Sportivo Luqueño,Sudamericana,Paraguay
Anssi Suhonen,CAM;CM,66,Hamburger SV,Bundesliga 2,Finland
Lukas Sulzbacher,CM;RB;RM,66,WSG Tirol,Ö. Bundesliga,Austria
Mathis Suray,CAM;ST,66,Go Ahead Eagles,Eredivisie,Belgium
Finn Surman,CB,66,Portland Timbers,MLS,New Zealand
Tobias Svendsen,LM;CM;LW,66,Odds BK,Eliteserien,Norway
Max Svensson,LW;ST;LM,66,Kalmar FF,Allsvenskan,Sweden
Svensson,ST;LM,66,Casa Pia AC,Liga Portugal,Spain
Iebe Swers,RB;LB,66,KV Mechelen,1A Pro League,Belgium
Eddy Sylvestre,CM;RM,66,Grenoble Foot 38,Ligue 2 BKT,France
Kajetan Szmyt,RW;CAM;LW;RM,66,Zagłębie Lubin,PKO BP Ekstraklasa,Poland
Filip Szymczak,ST;RM;LM,66,Lech Poznań,PKO BP Ekstraklasa,Poland
Dawid Szymonowicz,CB;CDM,66,Puszcza,PKO BP Ekstraklasa,Poland
Ryan Tafazolli,CB,66,Wycombe,EFL League One,England
Edvard Sandvik Tagseth,LB;CM,66,Rosenborg BK,Eliteserien,Norway
Mehdi Tahrat,CB,66,ESTAC Troyes,Ligue 2 BKT,Algeria
Scott Tanser,LB,66,St. Mirren,Scottish Prem,England
Dylan Tavares,LB;LM,66,SC Bastia,Ligue 2 BKT,Cape Verde Islands
Joe Taylor,ST,66,Luton Town,EFL Championship,Wales
Junior Tchamadeu,RB,66,Stoke City,EFL Championship,Cameroon
Henok Teklab,RM;LM;LB;RW,66,R. Union St.-G.,1A Pro League,Germany
Miro Tenho,CB,66,Djurgårdens IF,Allsvenskan,Finland
Casper Terho,RM;RW,66,R. Union St.-G.,1A Pro League,Finland
Serkan Emrecan Terzi,LB,66,Beşiktaş,Trendyol Süper Lig,Turkey
Maximilian Thalhammer,CDM;CM;CB,66,SV Waldhof,3. Liga,Germany
Niclas Thiede,GK,66,SSV Ulm 1846,Bundesliga 2,Germany
Ryan Thomas,CM;CAM;CDM,66,PEC Zwolle,Eredivisie,New Zealand
Luke Thomas,RM;RW;CAM,66,Bristol Rovers,EFL League One,England
Nigel Thomas,LW;RW;LM,66,Nacional,Liga Portugal,Holland
George Thomason,CM;CDM,66,Bolton,EFL League One,England
Angus Thurgate,CDM;CM;CAM,66,Western United,A-League,Australia
Sam Tickle,GK,66,Wigan Athletic,EFL League One,England
Simy,ST,66,Salernitana,Serie BKT,Nigeria
Agustín Toledo,CDM;CM,66,Huracán,Primera División,Argentina
Mirko Tomianovic,RM;RW,66,Real Tomayapo,Sudamericana,Bolivia
Juan Pablo Torres,LM;RB;LW,66,Atl. Nacional,Liga Colombia,Colombia
Edson Tortolero,RM;CAM;ST;RW,66,Carabobo FC,Sudamericana,Venezuela
Mason Toye,ST,66,Portland Timbers,MLS,United States
Brahim Traoré,CB;CDM,66,SM Caen,Ligue 2 BKT,France
Charles Traoré,LB;CB,66,SC Bastia,Ligue 2 BKT,Mali
Anton Tsarenko,CAM,66,Lechia Gdańsk,PKO BP Ekstraklasa,Ukraine
Blair Turgott,ST;LW,66,Halmstads BK,Allsvenskan,Jamaica
Calvin Twigt,CM;CDM,66,Go Ahead Eagles,Eredivisie,Holland
Przemysław Tytoń,GK,66,FC Twente,Eredivisie,Poland
Boné Uaferro,CB,66,Saarbrücken,3. Liga,Germany
Steven Ugarković,CDM;CM,66,Melbourne City,A-League,Australia
Adrián Ugarriza,ST;RW,66,Dep. Garcilaso,Sudamericana,Peru
Jacob Une-Larsson,CB,66,Djurgårdens IF,Allsvenskan,Sweden
Bjørn Inge Utvik,CB,66,Whitecaps FC,MLS,Norway
Pavle Vagić,CB;CDM,66,Hammarby IF,Allsvenskan,Sweden
Anthony Valencia,RM;LM;RW,66,Royal Antwerp FC,1A Pro League,Ecuador
Pol Valentín,RB;RM,66,Sheffield Wed,EFL Championship,Spain
Gonzalo Valle,GK,66,LDU Quito,Libertadores,Ecuador
Damian van Bruggen,CB,66,Vejle Boldklub,3F Superliga,Holland
Jochem van de Kamp,RM;RB;CM;RW,66,Almere City FC,Eredivisie,Holland
Richard van der Venne,CM;CAM,66,RKC Waalwijk,Eredivisie,Holland
Daniël van Kaam,CDM;CM,66,Heracles Almelo,Eredivisie,Holland
Robert-Jan Vanwesemael,RM;RW,66,STVV,1A Pro League,Belgium
Ádám Varga,GK,66,Ferencvárosi TC,Magyar Liga,Hungary
Miguel Vargas,GK,66,Dep. Garcilaso,Sudamericana,Chile
Gonzalo Vega,LM;RM;CAM;LW,66,Wanderers,Sudamericana,Uruguay
Bruno Veglio,CM;CDM;RM,66,Wanderers,Sudamericana,Uruguay
John Velásquez,CAM;RW,66,Farense,Liga Portugal,Colombia
Tijs Velthuis,CB,66,Salernitana,Serie BKT,Holland
Thibaud Verlinden,LW;ST;RW;LM,66,K. Beerschot VA,1A Pro League,Belgium
Romeo Vermant,ST,66,Club Brugge,1A Pro League,Belgium
Michael Verrips,GK,66,FCV Dender EH,1A Pro League,Holland
Simão Bertelli,GK,66,AVS Futebol SAD,Liga Portugal,Brazil
Viljar Helland Vevatne,CB;LB;RB,66,Viking FK,Eliteserien,Norway
Josh Vickers,GK,66,Derby County,EFL Championship,England
Luca Vido,ST,66,Reggiana,Serie BKT,Italy
Wilder Viera,CDM;CM,66,Cerro Porteño,Libertadores,Paraguay
Vilarrasa,LB,66,SD Huesca,LALIGA HYPERMOTION,Spain
Villahermosa,CM;CDM,66,CD Castellón,LALIGA HYPERMOTION,Spain
Iván Villalba,CB,66,Ind. Rivadavia,Primera División,Paraguay
Álvaro Villete,GK,66,Metropolitanos,Sudamericana,Uruguay
Lars Villiger,ST,66,FC Luzern,CSSL,Switzerland
Lars Vilsvik,RB,66,Strømsgodset IF,Eliteserien,Norway
Ben Voll,GK,66,FC St. Pauli,Bundesliga,Germany
Julian von Moos,RW;ST;RM,66,Servette FC,CSSL,Switzerland
Nicolas Vouilloz,CB;RB,66,FC Basel 1893,CSSL,Switzerland
Stipe Vulikić,CB,66,Sampdoria,Serie BKT,Croatia
Ibrahima Wadji,ST,66,AS Saint-Étienne,Ligue 1 McDonald's,Senegal
Jack Walton,GK,66,Dundee United,Scottish Prem,England
Mateusz Wdowiak,LM;RM;LW,66,Zagłębie Lubin,PKO BP Ekstraklasa,Poland
Leo Weinkauf,GK,66,Hannover 96,Bundesliga 2,Germany
Nelson Weiper,ST,66,1. FSV Mainz 05,Bundesliga,Germany
Oscar Wendt,LB,66,IFK Göteborg,Allsvenskan,Sweden
Christopher Wernitznig,RB;CM,66,Austria Klagenfurt,Ö. Bundesliga,Austria
Magnus Westergaard,CM;LW,66,Viborg FF,3F Superliga,Denmark
Niklas Wiemann,CB;LB;CDM,66,VfL Osnabrück,3. Liga,Germany
Gustav Mendonca Wikheim,LW;LM,66,Djurgårdens IF,Allsvenskan,Norway
Randell Williams,LB;RB;LM,66,Bolton,EFL League One,England
Derrick Williams,CB,66,Atlanta United,MLS,Republic of Ireland
Brendan Wiredu,CB,66,Fleetwood Town,EFL League Two,England
Bobby Wood,ST,66,New England,MLS,United States
Ben Woodburn,CAM;LW,66,Salford City,EFL League Two,Wales
Scott Wootton,CB,66,Well. Phoenix,A-League,England
Callum Wright,CM,66,Plymouth Argyle,EFL Championship,England
Charlie Wyke,ST,66,Carlisle United,EFL League Two,England
Matthéo Xantippe,LB,66,Grenoble Foot 38,Ligue 2 BKT,France
Ayman Yahya,RM;LM;RW,66,Al Nassr,ROSHN Saudi League,Saudi Arabia
Malick Yalcouyé,CM,66,Brighton,Premier League,Mali
Yang Liyu,RW;RM;ST,66,Beijing FC,CSL,China PR
William Yarbrough,GK,66,SJ Earthquakes,MLS,United States
Patrick Yazbek,CDM;CM,66,Nashville SC,MLS,Australia
Dru Yearwood,CM;CDM,66,Nashville SC,MLS,England
Kusini Yengi,ST;LM;LW,66,Portsmouth,EFL Championship,Australia
